platform;manager;pack_number;pack_date;due_date;seller_article;wb_article;ozon_article;name;focus_metric;priority
WB;Анастасия;1;2026-04-08;2026-04-14;brk012/ft2/k1/017/p1*mсиний;461224649;2226678387;школа гусинная лапка;Кол продаж;Высокий
WB;Анастасия;1;2026-04-08;2026-04-14;brk012/ft2/k1/018/p1*mсиний;503891710;3296374072;школа синие однотон;Кол продаж;Средний
WB;Анастасия;1;2026-04-08;2026-04-14;brk018/int/k3/005/p1*mчерный,зеленый,синий;247229875;1174645555;малыши 3 шт;Кол продаж;Высокий
WB;Анастасия;1;2026-04-08;2026-04-14;brk018/int/k3/005/p1*mчерный,с-меланж,хаки;578603275;3957157408;малыши 3 шт;Кол продаж;Высокий
WB;Анастасия;1;2026-04-08;2026-04-14;brk020/ft2/k1/005/p1*dсерый_меланж;566476239;3630322522;шаравары без манж;Отменили;Средний
WB;Анастасия;1;2026-04-08;2026-04-14;kss023/sph/k1/002/p1*dрозовый;348231025;1463255977;велоспорт 2 шт;Отменили;Высокий
WB;Анастасия;1;2026-04-08;2026-04-14;kss023/sph/k1/002/p1*dсалатовый;153796741;523946777;велоспорт 2 шт;Отменили;Высокий
WB;Анастасия;1;2026-04-08;2026-04-14;kss024/spl/k1/001/p1*dбирюзовый;411181679;1725102622;велоспорт 3 шт;Отменили;Высокий
WB;Анастасия;1;2026-04-08;2026-04-14;kss024/spl/k1/001/p1*dсалатовый;411181682;1725102611;велоспорт 3 шт;Кол продаж;Высокий
WB;Анастасия;1;2026-04-08;2026-04-14;kss025/ft2/k1/001/p1*dментол;411181683;1725118436;юбка-шорты;Отменили;Высокий
WB;Анастасия;1;2026-04-08;2026-04-14;kss025/ft2/k1/001/p1*dфиолетовый;411181685;1725110120;юбка-шорты;Отменили;Высокий
WB;Анастасия;1;2026-04-08;2026-04-14;kss025/ft3/k1/003/p1*dкофейный;569522107;;юбка шорты малыш;Отменили;Высокий
WB;Анастасия;1;2026-04-08;2026-04-14;kss025/spl/k1/002/p1*dграфит;566490730;3630094135;юбка-шорты;Кол продаж;Высокий
WB;Анастасия;1;2026-04-08;2026-04-14;kss026/spl/k1/002/p1*dграфит;773225612;3960545218;Костюм футболка с брюками;% выкупа;Высокий
WB;Анастасия;1;2026-04-08;2026-04-14;kss026/spl/k1/002/p1*dпесочный;773225617;;Костюм футболка с брюками палаццо;% выкупа;Средний
WB;Анастасия;1;2026-04-08;2026-04-14;ksw015/ft3/k1/014/p1*uграфит;494186307;;необработанный край;% выкупа;Высокий
WB;Анастасия;1;2026-04-08;2026-04-14;shr006/spl/k3/015/p1*uкоралловый,молочный;449731397;;велосипедки 3 шт;Кол продаж;Высокий
WB;Анастасия;1;2026-04-08;2026-04-14;shr006/spl/k3/015/p1*uрозовый,голубой;449731398;;велосипедки 3 шт;Кол продаж;Высокий
WB;Анастасия;1;2026-04-08;2026-04-14;shr006/spl/k4/043/p1*dмолочный,пудровый;578628192;;велосипедки 4 шт;Отменили;Высокий
WB;Анастасия;2;2026-04-09;2026-04-15;603/pjm004/3/sph/k1/001/p1/W*dбелый,розовый;13046901;428680996;единорог розовый;Отменили;Высокий
WB;Анастасия;2;2026-04-09;2026-04-15;636/mkb002/sph/k3/005/p1/W*dмолочный,розовый;17676901;428484168;принцесса;Отменили;Высокий
WB;Анастасия;2;2026-04-09;2026-04-15;kss026/sph/k1/001/p1*uболотный;569513778;3630225654;камуфляж;Отменили;Высокий
