"Артикул";"Ozon Product ID";"SKU";"Количество товара в кванте";"Barcode";"Название товара";"Контент-рейтинг";"Бренд";"Статус товара";"Метки";"Отзывы";"Рейтинг";"Причины скрытия";"Дата создания";"Категория";"Тип";"Объем товара, л";"Объемный вес, кг";"Доступно к продаже по схеме FBO, шт.";"Зарезервировано, шт";"Доступно к продаже по схеме FBS, шт.";"Доступно к продаже по схеме realFBS, шт.";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, ₽";"Цена до скидки (перечеркнутая цена), ₽";"Цена Premium, ₽";"Размер НДС, %";"Ошибки";"Предупреждения"
"'uromax";"1068200403";"1589191436";;"4610030632674";"Лекарство от простатита для мужчин, женьшень корень, Алтея, Уромакс, 20 капсул";"'100";"Алтея";"Продается";;"10365";"'4.70";;"2024-05-29 16:57:19";"Парафармацевтика";"Пищевая добавка";"'0.21";"'0.1";"2672";"8";"0";"0";"0";"1000.00";"2500.00";;"22%";;
"'varifit";"1069136796";"1590032182";;"4693006790233";"Крем мазь от варикоза, конский каштан, Алтея, Варифит, 30 мл";"'100";"Алтея";"Продается";;"2931";"'4.50";;"2024-05-30 11:50:23";"Парафармацевтика";"Лечебное средство";"'0.24";"'0.1";"1651";"3";"0";"0";"0";"719.00";"1200.00";;"22%";;
"'ekzifol";"1069145574";"1590039392";;"4690766790237";"Мазь от грибка ногтей на ногах, противогрибковое средство для ногтей, Алтея, Экзифол, 30 мл";"'100";"Алтея";"Продается";;"2110";"'4.60";;"2024-05-30 11:58:54";"Парафармацевтика";"Лечебное средство";"'0.24";"'0.1";"1302";"3";"0";"0";"0";"700.00";"3200.00";;"22%";;
"'glukofol";"1069174661";"1590064366";;"4610030632698";"Витамины для диабетиков от сахарного диабета, Алтея, Глюкофол, 10 мл";"'100";"Алтея";"Продается";;"865";"'4.60";;"2024-05-30 12:19:58";"Парафармацевтика";"Пищевая добавка";"'0.07";"'0.1";"581";"1";"0";"0";"0";"1000.00";"2500.00";;"22%";;
"'uhovit";"1069197877";"1590087137";;"4610030632667";"Капсулы для улучшения слуха, усилитель слуха, Алтея, Уховит, 20 капсул";"'100";"Алтея";"Продается";;"4671";"'4.60";;"2024-05-30 12:31:33";"Парафармацевтика";"Пищевая добавка";"'0.18";"'0.1";"2189";"7";"0";"0";"0";"1861.00";"6300.00";;"22%";;
"'gemorekt";"1069372424";"1590267064";;"4610030632742";"Крем гель от геморроя и анальных трещин / Геморект, 15 мл";"'100";"Алтея";"Продается";;"3385";"'4.80";;"2024-05-30 14:41:35";"Парафармацевтика";"Лечебное средство";"'0.13";"'0.1";"508";"3";"0";"0";"0";"735.00";"1100.00";;"22%";;
"'wowglam";"1076259977";"1597150074";;"4610030632728";"Сыворотка для роста волос, никотиновая кислота, биотин, бетаин, кератин, масло жожоба, Алтея, WOW GLAM, 10 штук по 2 мл";"'82";"Алтея";"Продается";;"1220";"'4.80";;"2024-06-05 11:57:36";"Косметика для ухода за волосами";"Сыворотка для волос";"'0.33";"'0.1";"99";"1";"0";"0";"0";"1498.00";"2500.00";;"22%";;
"'maslo_dlya_borodi_50ml";"1094915417";"1613737006";;"4610172186882";"Масло для роста бороды, средство для роста, уход за бородой, смягчающее, Алтея, 50 мл";"'100";"Алтея";"Продается";;"1880";"'4.80";;"2024-06-25 13:10:48";"Средства для бритья и груминг";"Средство для ухода за бородой";"'0.15";"'0.1";"604";"2";"0";"0";"0";"1856.00";"3200.00";;"22%";;
"'syvorotka_dlya_lica_30ml";"1094948383";"1613771317";;"4670020497034";"Сыворотка для лица с ниацинамидом для лица антивозрастная, от пигментных пятен, пигментации, Алтея, 30 мл";"'100";"Алтея";"Продается";;"2092";"'4.80";;"2024-06-25 13:59:43";"Косметика для ухода";"Сыворотка для ухода за кожей";"'0.35";"'0.1";"7";"0";"0";"0";"0";"2225.00";"5002.00";;"22%";;
"'menoflavon_BAD_60caps";"1095918062";"1614639084";;"4610030631714";"Фитоэстрогены для женщин, от приливов при климаксе, при менопаузе, Алтея, Мено Флавон, 60 капсул";"'100";"Алтея";"Продается";;"1009";"'4.80";;"2024-06-26 13:54:56";"БАДы и витамины";"БАД при гинекологических нарушениях";"'0.23";"'0.1";"446";"1";"0";"0";"0";"1317.00";"9500.00";;"22%";;
"'penka_160ml";"1112710930";"1629533131";;"4630084864777";"Мицеллярная пенка для умывания лица, для снятия макияжа, средство для снятия макияжа, Алтея, 160";"'100";"Алтея";"Готов к продаже";;"964";"'4.90";;"2024-07-16 09:01:57";"Косметика для ухода";"Средство для снятия макияжа";"'0.42";"'0.2";"0";"0";"0";"0";"0";"3000.00";"12000.00";;"22%";;
"'relaksinol_BAD_60caps";"1112740442";"1629559728";;"4610030631738";"Магний В6 с лавандой, Алтея, Релаксинол, 60 капсул";"'100";"Алтея";"Готов к продаже";;"366";"'4.70";;"2024-07-16 09:23:47";"Парафармацевтика";"Пищевая добавка";"'0.18";"'0.1";"0";"0";"0";"0";"0";"1199.00";"3500.00";;"22%";;
"'wbbiotrin_1_1_1";"1131398137";"1646797818";;"2038301433485";"Мазь для суставов обезболивающая, панты морала,коллаген, хондротин, глюкозамин, Биотрин, 3 шт";"'100";"Алтея";"Готов к продаже";;"802";"'4.70";;"2024-08-02 08:38:17";"Парафармацевтика";"Лечебное средство";"'1.30";"'0.3";"0";"0";"0";"0";"0";"1640.00";"2500.00";;"22%";;
"'nabor_remuver_kremovii";"1143569493";"1657229241";;"4629945399213";"Ремувер для снятия ресниц, Алтея, 18г";"'100";"Алтея";"Продается";;"5024";"'4.80";;"2024-08-13 13:50:59";"Декоративная косметика";"Средство для наращивания ресниц";"'0.58";"'0.3";"1711";"3";"0";"0";"0";"6600.00";"7000.00";;"22%";;
"'gel_dlya_brovei_6ml";"1159897813";"1671085702";;"4609893777394";"Гель для бровей с эффектом ламинирования, Алтея, 6 мл";"'100";"Алтея";"Продается";;"1248";"'4.70";;"2024-08-26 15:20:41";"Декоративная косметика";"Гель для бровей";"'0.03";"'0.1";"1032";"1";"0";"0";"0";"660.00";"3500.00";;"22%";;
"'mycoplax";"1183269948";"1691245886";;"4610030633572";"Мазь от грибка ногтей на ногах, крем гель Алтея, Микоплакс Mycoplax, 15 мл";"'100";"Алтея";"Продается";;"7109";"'4.70";;"2024-09-12 09:57:35";"Парафармацевтика";"Лечебное средство";"'0.17";"'0.1";"1155";"2";"0";"0";"0";"830.00";"2500.00";;"22%";;
"'mycoplax";"1183269948";"2202472605";"6";"OZN2202472605";"Мазь от грибка ногтей на ногах, крем гель Алтея, Микоплакс Mycoplax, 15 мл";"'100";"Алтея";"Готов к продаже";;;;;"2025-05-28 12:11:12";"Парафармацевтика";"Лечебное средство";"'1.21";"'0.2";"0";"0";"0";"0";"0";"499.00";"953.00";;"22%";;
"'osteofast";"1183288454";"1691265016";;"4610030633633";"Мазь для суставов обезболивающая, панты марала и глюкозамин, Алтея, Остеофаст, Osteofast, 30 мл";"'100";"Алтея";"Продается";;"1265";"'4.60";;"2024-09-12 10:06:31";"Парафармацевтика";"Лечебное средство";"'0.20";"'0.1";"639";"1";"0";"0";"0";"760.00";"1500.00";;"22%";;
"'maska-batter_250ml";"1183545172";"1691464882";;"4670020497546";"Маска для волос с кератином восстанавливающая увлажняющая, Алтея, 250 мл";"'100";"Алтея";"Продается";;"2008";"'4.80";;"2024-09-12 13:12:53";"Косметика для ухода за волосами";"Маска для волос";"'0.49";"'0.3";"1008";"2";"0";"0";"0";"1794.00";"9000.00";;"22%";;
"'krem_ot_rastyazhek";"1183558345";"1691475362";;"4660417421650";"Крем/масло от растяжек для беременных и подростков с эластином, Алтея, 200 мл";"'85";"Алтея";"Продается";;"1121";"'4.90";;"2024-09-12 13:25:57";"Косметика для ухода";"Крем для ухода за кожей";"'0.41";"'0.2";"278";"9";"0";"0";"0";"1435.00";"3000.00";;"22%";;
"'stik_ot_mozoley";"1196352442";"1702319370";;"4690222978568";"Карандаш от мозолей, стик от натирания, мозольный пластырь, Алтея, 20 г";"'77.5";"Алтея";"Готов к продаже";;"583";"'4.80";;"2024-09-23 13:24:45";"Косметика для ухода";"Стик";"'0.04";"'0.1";"0";"0";"0";"0";"0";"915.00";"1500.00";;"22%";;
"'yagodniy_spas";"1197837364";"1703614178";;"4610030633701";"Антипаразитарный комплекс от глистов, очищение организма от паразитов, детокс, Алтея, Ягодный спас,10 шипучих таблеток";"'100";"Алтея";"Продается";;"5937";"'4.70";;"2024-09-24 12:25:46";"Парафармацевтика";"Пищевая добавка";"'0.17";"'0.1";"2020";"2";"0";"0";"0";"805.00";"1500.00";;"22%";;
"'syvorotka_dlya_rosta_6ml";"1209019706";"1713211121";;"4685518825374";"Сыворотка для роста ресниц и бровей, гель для роста, Алтея, 6 мл";"'100";"Алтея";"Готов к продаже";;"1109";"'4.70";;"2024-10-03 14:46:33";"Средства по уходу за бровями и ресницами";"Средство для роста ресниц и бровей";"'0.18";"'0.1";"0";"0";"0";"0";"0";"721.00";"1200.00";;"22%";;
"'termo_sprei_200ml";"1218015118";"1720926371";;"4670020497980";"Термозащита Спрей для волос 17 в 1 восстанавливающий с кератином, Алтея, 200 мл";"'100";"Алтея";"Продается";;"384";"'4.80";;"2024-10-10 13:00:47";"Косметика для ухода за волосами";"Спрей для ухода за волосами";"'1.08";"'0.2";"379";"0";"0";"0";"0";"1265.00";"3500.00";;"22%";;
"'limfaks_BAD_30caps";"1245902576";"1745055145";;"4610030631943";"Биологически активная добавка к пище: ""Комплекс для здоровья лимфатической системы"" Лимфакс";"'100";"Алтея";"Продается";;"685";"'4.80";;"2024-10-30 13:43:36";"БАДы и витамины";"БАД для поддержания иммунитета";"'0.19";"'0.1";"313";"2";"0";"0";"0";"992.00";"5500.00";;"22%";;
"'enzim_pudra_80gr";"1246012875";"1745153183";;"4670020498017";"Энзимная пудра для умывания тела и лица, от прыщей, Алтея, 80г";"'100";"Алтея";"Готов к продаже";;"1122";"'4.90";;"2024-10-30 15:43:10";"Косметика для ухода";"Средство для умывания";"'0.29";"'0.1";"0";"0";"0";"0";"0";"779.00";"1500.00";;"22%";;
"'syvorotka_guk_30ml";"1246174383";"1745303363";;"4670020498093";"Сыворотка для лица с витамином с, увлажняющая осветляющая с гиалуроновой кислотой, Алтея, 30 мл";"'100";"Алтея";"Продается";;"944";"'4.80";;"2024-10-30 19:37:24";"Косметика для ухода";"Сыворотка для ухода за кожей";"'0.50";"'0.1";"363";"4";"0";"0";"0";"4525.00";"9400.00";;"22%";;
"'indolakt_BAD_60caps";"1253931299";"1752021365";;"4610030631950";"Индол 3 карбинол брокколи витамины с зеленым чаем Алтея, Индолакт, 60 капсул";"'100";"Алтея";"Продается";;"1243";"'4.90";;"2024-11-07 14:28:08";"Парафармацевтика";"Пищевая добавка";"'0.26";"'0.1";"551";"4";"0";"0";"0";"1199.00";"2500.00";;"22%";"Название: Биологически активные добавки можно продавать только в категории БАДы. Скорректируйте категорию товара; Биологически активные добавки можно продавать только в категории БАДы. Скорректируйте категорию товара; Биологически активные добавки можно продавать только в категории БАДы. Скорректируйте категорию товара";
"'i_am_alpha_BAD_60caps";"1253975348";"1752060204";;"4640257810869";"Тестостерон для мужчин I am alpha Алтея 60 капсул, экдистерон для потенции и мышц спортивный, цинк, тестобустер, витамины для мужчин, бустер";"'100";"Алтея";"Продается";;"1601";"'4.70";;"2024-11-07 15:21:06";"Спортивное питание";"Средства для повышения тестостерона";"'0.21";"'0.1";"313";"2";"0";"0";"0";"1500.00";"2500.00";;"22%";;
"'berberin_laif_BAD_60caps";"1255207293";"1753227855";;"4610030633862";"Берберин + хром + коэнзим + B6 для похудения, контроль аппетита и веса, Алтея, Берберин Лайф, 60 капсул";"'100";"Алтея";"Продается";;"1738";"'4.70";;"2024-11-08 13:51:58";"Парафармацевтика";"Пищевая добавка";"'0.24";"'0.1";"514";"3";"0";"0";"0";"1600.00";"5600.00";;"22%";;
"'b_kompleks_BAD_60tabl";"1261212430";"1758604241";;"4610030631721";"Витамины группы В комплекс Алтея 60 жевательных таблеток";"'100";"Алтея";"Готов к продаже";;"1158";"'4.80";;"2024-11-14 16:15:33";"БАДы и витамины";"Витаминный комплекс";"'0.21";"'0.1";"0";"0";"0";"0";"0";"637.00";"2500.00";;"22%";;
"'revmastop_BAD_60caps";"1263999866";"1761037555";;"4610030631967";"Глюкозамин хондроитин МСМ для суставов и связок Ревмастоп Алтея 60 капсул";"'100";"Алтея";"Продается";;"1245";"'4.80";;"2024-11-18 15:16:43";"БАДы и витамины";"БАД для костей и суставов";"'0.21";"'0.1";"63";"1";"0";"0";"0";"1515.00";"2500.00";;"22%";;
"'kavmaz_40ml_1_1";"1301645903";"1792793774";;"2042302907722";"Кавказская мазь Натуральное лечебное средство для суставов и связок обезболивающее, Алтея, 40 + 40 мл";"'100";"Алтея";"Продается";;"2165";"'4.80";;"2024-12-19 11:19:27";"Парафармацевтика";"Лечебное средство";"'1.44";"'0.3";"483";"3";"0";"0";"0";"1429.00";"2500.00";;"22%";;
"'gel_parfum_tabacco_vanille_450ml";"1302100195";"1793172927";;"4603320465267";"Гель для душа женский парфюмированный Tobacco Vanille, Алтея, 450 мл";"'100";"Алтея";"Продается";;"677";"'4.90";;"2024-12-19 15:11:15";"Средства для гигиены тела";"Средство для душа";"'1.27";"'0.4";"386";"1";"0";"0";"0";"925.00";"1500.00";;"22%";;
"'alteya_young_skin_box";"1318296094";"1805976932";;"4656784976558";"Подарочный набор для женщин. Набор для лица уходовый косметический бьюти Young Skin Box Алтея";"'100";"Алтея";"Готов к продаже";;"299";"'4.70";;"2024-12-27 12:58:23";"Косметика для ухода";"Набор уходовой косметики";"'0.50";"'0.2";"0";"0";"0";"0";"0";"2800.00";"3500.00";;"22%";;
"'alteya_beauty_brows_box";"1318306032";"1805983376";;"4646784974555";"Уход за бровями набор Гель для бровей + сыворотка для ресниц, набор для бровей и ресниц, Алтея";"'100";"Алтея";"Готов к продаже";;"370";"'4.80";;"2024-12-27 13:03:53";"Декоративная косметика";"Набор для бровей";"'0.74";"'0.1";"0";"0";"0";"0";"0";"1100.00";"2000.00";;"22%";;
"'krovavii_piling_30ml";"1318450161";"1806079450";;"4603312714004";"Пиллинг для лица Кровавый кислотный пилинг для лица от прыщей от акне с Альфа и бета-гидроксикислотами салициловая кислота, Алтея 30 мл";"'100";"Алтея";"Продается";;"1900";"'4.80";;"2024-12-27 14:27:32";"Косметика для ухода";"Пилинг";"'0.74";"'0.1";"4";"4";"0";"0";"0";"3700.00";"9500.00";;"22%";;
"'urinofix";"1349825916";"1829803107";;"4610030633930";"От цистита для женщин, от недержания мочи, Уринофикс, Алтея 20 капсул";"'100";"Алтея";"Продается";;"502";"'4.70";;"2025-01-13 14:47:48";"Парафармацевтика";"Пищевая добавка";"'0.17";"'0.1";"509";"0";"0";"0";"0";"1210.00";"1500.00";;"22%";;
"'erobrut";"1349833535";"1829804935";;"4610030633909";"Возбудитель для мужчин, таблетки для потенции, капсулы для секса, 18+, Эробрут,Алтея, 20 капсул";"'100";"Алтея";"Продается";;"1441";"'4.40";;"2025-01-13 14:54:34";"Парафармацевтика";"Пищевая добавка";"'0.19";"'0.1";"578";"2";"0";"0";"0";"777.00";"1250.00";;"22%";;
"'gel_for_men_3_in_1_1000ml";"1373389678";"1847971373";;"4603320465274";"Гель для душа мужской парфюмированный Алтея 1000 мл";"'100";"Алтея";"Продается";;"1522";"'4.90";;"2025-01-25 19:52:29";"Средства для гигиены тела";"Средство для душа";"'2.97";"'1.1";"911";"0";"0";"0";"0";"1059.00";"2500.00";;"22%";;
"'nabor_penka_dlya_resnic";"1373394593";"1847974827";;"4698878338125";"Пенка для нарощенных ресниц и для бровей, для умывания и очищения ресниц Алтея 150 мл";"'100";"Алтея";"Продается";;"563";"'4.90";;"2025-01-25 20:04:59";"Косметика для ухода";"Средство для снятия макияжа";"'1.16";"'0.3";"354";"4";"0";"0";"0";"1350.00";"1500.00";;"22%";;
"'kinzhal_1_1";"1378472310";"1851900175";;"2042608266288";"Виаагра Возбудитель для мужчин, средство для потенции и эрекции, витамины для мужчины, Кинжал, 20 капсул х 2";"'100";"Алтея";"Продается";;"2159";"'4.50";;"2025-01-30 12:58:05";"Парафармацевтика";"Пищевая добавка";"'0.91";"'0.2";"701";"2";"0";"0";"0";"1318.00";"2000.00";;"22%";;
"'sinergel_30ml_1_1";"1378473143";"1851902167";;"2042608328689";"Мазь для суставов обезболивающая с глюкозамин Алтея, Синергель, 30 мл х 2";"'100";"Алтея";"Продается";;"280";"'4.80";;"2025-01-30 13:00:22";"Парафармацевтика";"Лечебное средство";"'0.74";"'0.1";"301";"3";"0";"0";"0";"1240.00";"2500.00";;"22%";;
"'solevoy_sprei_200ml";"1388629103";"1860164273";;"4670020498413";"Солевой спрей для волос/ текстурайзер для объема и укладки волос с фиксацией Алтея 200 мл";"'100";"Алтея";"Продается";;"1226";"'4.80";;"2025-02-06 14:51:12";"Косметика для ухода за волосами";"Спрей для укладки волос";"'0.41";"'0.2";"273";"3";"0";"0";"0";"1208.00";"9500.00";;"22%";;
"'yagodniy_spas_1_1";"1419940646";"1884227964";;"2042827589663";"Антипаразитарный комплекс от глистов, очищение организма от паразитов, детокс, Алтея, Ягодный спас, 20 шипучих таблеток";"'100";"Алтея";"Продается";;"1473";"'4.70";;"2025-02-19 14:49:59";"Парафармацевтика";"Пищевая добавка";"'0.65";"'0.1";"700";"1";"0";"0";"0";"1550.00";"2500.00";;"22%";;
"'maska-batter_dlya_rosta_500ml";"1463073764";"1917245431";;"4603320465366";"Маска для роста волос с перцем, средство для роста волос, для укрепления, Алтея 500мл";"'100";"Алтея";"Продается";;"1469";"'4.90";;"2025-03-05 12:26:18";"Косметика для ухода за волосами";"Маска для волос";"'0.88";"'0.4";"620";"4";"0";"0";"0";"1475.00";"6500.00";;"22%";;
"'gel_brows_5ml";"1463099656";"1917265136";;"4676574657436";"Гель для бровей с коллагеном и эластином, фиксация на 24 часа, Алтея, 5 мл";"'100";"Алтея";"Продается";;"705";"'4.80";;"2025-03-05 12:40:23";"Декоративная косметика";"Гель для бровей";"'0.02";"'0.1";"368";"0";"0";"0";"0";"795.00";"5500.00";;"22%";;
"'maska_dlya_lica_100ml";"1596548331";"2015306117";;"4670020498741";"Маска для лица очищающая и увлажняющая , для сужения пор Алтея 100 мл";"'100";"Алтея";"Готов к продаже";;"1426";"'4.80";;"2025-04-09 14:54:20";"Маска косметическая";"Маска косметическая";"'0.28";"'0.1";"0";"0";"0";"0";"0";"3800.00";"14000.00";;"22%";;
"'tonik_dlya_lica_200ml";"1596908696";"2015547267";;"4670020498499";"Тоник для лица очищающий, увлажняющий тонер, лосьон от пигментации, от прыщей и акне, черных точек для подростков с гликолевой салициловой кислотой, центеллой, ниацинамидом, Алтея 200 мл";"'100";"Алтея";"Продается";;"832";"'4.80";;"2025-04-09 18:40:03";"Косметика для ухода";"Тоник для ухода за кожей";"'0.38";"'0.2";"692";"2";"0";"0";"0";"1515.00";"9500.00";;"22%";;
"'gel_antiakne_20ml";"1596913316";"2015557258";;"4670020498482";"Точечный крем от прыщей. Корректор точечный против прыщей, крем от акне. Салициловая кислота, азелаиновая кислота Алтея 20 мл";"'100";"Алтея";"Готов к продаже";;"800";"'4.80";;"2025-04-09 18:49:06";"Косметика для ухода";"Крем для ухода за кожей";"'0.12";"'0.1";"0";"0";"0";"0";"0";"1450.00";"1550.00";;"22%";;
"'nabor_remuver_40ml_1_1";"1675542540";"2067921716";;"4656887467946";"Ремувер для удаления кутикулы, Алтея, 40 мл х 2";"'100";"Алтея";"Готов к продаже";;"692";"'4.70";;"2025-04-24 13:20:47";"Косметика для ухода";"Средство для ногтей и кутикулы";"'0.50";"'0.1";"0";"0";"0";"0";"0";"1150.00";"1500.00";;"22%";;
"'curly_method_300ml";"1675572370";"2067943215";;"4603320465441";"Кудрявый метод Крем для кудрявых и вьющихся волос Алтея 300 мл";"'100";"Алтея";"Продается";;"1450";"'4.80";;"2025-04-24 13:33:39";"Косметика для ухода за волосами";"Крем для волос";"'0.55";"'0.3";"3";"2";"0";"0";"0";"2459.00";"9500.00";;"22%";;
"'penka_kudryavii_metod_150ml";"1675584273";"2067952800";;"4670020498611";"Кудрявый метод Пенка для укладки кудрявых волос Алтея 150 мл";"'100";"Алтея";"Готов к продаже";;"640";"'4.80";;"2025-04-24 13:40:12";"Косметика для ухода за волосами";"Пенка для волос";"'0.35";"'0.2";"0";"0";"0";"0";"0";"1532.00";"9000.00";;"22%";;
"'silk_hair_300ml";"1675596189";"2067962201";;"4603320465465";"Кудрявый метод Kрем для волос разглаживающий, праймер кондиционер реконструктор, флюид для непослушных или кудрявых волос для кончиков Султан 300мл Алтея";"'100";"Алтея";"Продается";;"868";"'4.80";;"2025-04-24 13:44:14";"Косметика для ухода за волосами";"Крем для волос";"'1.21";"'0.4";"420";"2";"0";"0";"0";"1133.00";"2500.00";;"22%";;
"'ekdisteron_ultra_man_60caps";"1718822397";"2099218978";;"4673748455355";"Тестостерон для мужчин, экдистерон для потенции и мышц спортивный, цинк, тестобустер, витамины для мужчин, бустер Алтея 60 капсул";"'100";"Алтея";"Продается";;"977";"'4.70";;"2025-05-05 08:31:47";"Спортивное питание";"Средства для повышения тестостерона";"'0.17";"'0.1";"199";"1";"0";"0";"0";"1285.00";"2500.00";;"22%";;
"'matte_wax_50ml";"1770854148";"2138175361";;"4603320465304";"Гель-воск для волос сверхсильная фиксация Алтея 50 мл";"'82";"Алтея";"Продается";;"440";"'4.80";;"2025-05-15 12:49:28";"Косметика для ухода за волосами";"Воск для волос";"'0.61";"'0.1";"614";"1";"0";"0";"0";"4500.00";"9500.00";;"22%";;
"'sprei_buster_100ml";"1770944895";"2138241943";;"4603320465359";"Спрей для роста волос и от выпадения волос никотиновая кислота перец размарин Алтея 100 мл";"'100";"Алтея";"Продается";;"2160";"'4.80";;"2025-05-15 13:07:06";"Косметика для ухода за волосами";"Сыворотка для волос";"'0.18";"'0.1";"591";"3";"0";"0";"0";"1422.00";"9500.00";;"22%";;
"'krem_buster_250ml";"1771159379";"2138376665";;"4603320465427";"Антицеллюлитный крем гель для тела от целлюлита Алтея 250 мл";"'100";"Алтея";"Продается";;"641";"'4.70";;"2025-05-15 13:49:55";"Косметика для ухода";"Крем для ухода за кожей";"'0.25";"'0.3";"450";"1";"0";"0";"0";"1418.00";"4500.00";;"22%";;
"'maslo_dlya_volos_parf_110ml_";"1810416506";"2168297398";;"4610172181559";"Масло для волос несмываемое профессиональное Tom Ford Lost Cherry, Алтея, 110 мл";"'100";"Алтея";"Продается";;"610";"'4.70";;"2025-05-22 11:31:12";"Косметика для ухода за волосами";"Масло для волос";"'0.83";"'0.2";"278";"0";"0";"0";"0";"1130.00";"1500.00";;"22%";;
"'syvorotka_dlya_rosta_6ml_v2";"2115001431";"2396972400";;"4656738598843";"Сыворотка для роста ресниц и бровей, гель для роста, Алтея, 6 мл";"'100";"Алтея";"Продается";;"532";"'4.80";;"2025-07-02 19:20:06";"Средства по уходу за бровями и ресницами";"Средство для роста ресниц и бровей";"'0.18";"'0.1";"42";"3";"0";"0";"0";"3294.00";"6056.00";;"22%";;
"'skrab_babl_gam_200ml";"2178202657";"2445342489";;"4660417421476";"Скраб пилинг для кожи головы, Алтея, 200 мл";"'100";"Алтея";"Продается";;"419";"'4.80";;"2025-07-10 12:42:47";"Косметика для ухода за волосами";"Скраб для кожи головы";"'0.90";"'0.2";"385";"0";"0";"0";"0";"1458.00";"9500.00";;"22%";;
"'telomeras_60caps";"2245921397";"2498032276";;"4673748455362";"Теломераза NMN ТА-65 Алтея 60 капсул";"'100";"Алтея";"Продается";;"364";"'4.80";;"2025-07-18 11:59:22";"Парафармацевтика";"Пищевая добавка";"'0.28";"'0.1";"772";"2";"0";"0";"0";"3613.00";"9500.00";;"22%";;
"'krem_dlya_vek_30ml";"2246504372";"2498445505";;"4660417421643";"Крем для век и кожи вокруг глаз Жидкие патчи для глаз Алтея 30 мл";"'100";"Алтея";"Продается";;"609";"'4.80";;"2025-07-18 14:30:21";"Косметика для ухода";"Крем для ухода за кожей";"'0.26";"'0.1";"444";"1";"0";"0";"0";"1857.00";"2500.00";;"22%";;
"'intimvita_300ml";"2306535604";"2545691905";;"4630084865477";"Гель для интимной гигиены с молочной кислотой, Алтея, Интимвита, 300 мл";"'100";"Алтея";"Продается";;"665";"'4.90";;"2025-07-25 17:04:10";"Средства для гигиены тела";"Средство для интимной гигиены";"'1.01";"'0.4";"346";"0";"0";"0";"0";"1095.00";"1500.00";;"22%";;
"'gel_dlya_britya_300ml";"2354122011";"2583100450";;"4603320465458";"Гель для бритья мужской без пены охлаждающий с ментолом Алтея 300 мл";"'100";"Алтея";"Продается";;"792";"'4.70";;"2025-07-31 14:49:30";"Средства для бритья и груминг";"Средство для бритья";"'0.58";"'0.3";"753";"1";"0";"0";"0";"1575.00";"2500.00";;"22%";;
"'pink_pepper_50ml";"2354196765";"2583139610";;"4603320465342";"Крем для лица матирующий с ниацинамидом дневной база под макияж Алтея 50 мл";"'100";"Алтея";"Продается";;"540";"'4.80";;"2025-07-31 15:09:17";"Косметика для ухода";"Крем для ухода за кожей";"'0.20";"'0.2";"493";"3";"0";"0";"0";"1515.00";"2500.00";;"22%";;
"'retinait_syvorotka_1_30ml";"2354257401";"2583177512";;"4603320465403";"Сыворотка с ретинолом 1% для лица от морщин антивозрастная Алтея 30 мл";"'100";"Алтея";"Продается";;"957";"'4.80";;"2025-07-31 15:25:53";"Косметика для ухода";"Сыворотка для ухода за кожей";"'0.50";"'0.1";"712";"4";"0";"0";"0";"2015.00";"9658.00";;"22%";;
"'gel_antiakne_20ml_v2";"2399458351";"2616859755";;"4660417420110";"Крем от прыщей точечный/против прыщей, от акне комедонов угрей черных точек, средство для подростков, для проблемной кожи, гель от прыщей на лице cалициловая, азелаиновая кислота. Алтея 20 мл";"'100";"Алтея";"Продается";;"1648";"'4.80";;"2025-08-05 15:18:21";"Косметика для ухода";"Крем для ухода за кожей";"'0.13";"'0.1";"3";"2";"0";"0";"0";"1850.00";"4200.00";;"22%";;
"'arterol_1_1";"2673932381";"2825063594";;"4675893578767";"Средство от давления, витамины для сердца, чистка сосудов, Алтея, Артерол, 10мл х 2";"'100";"Алтея";"Продается";;"74";"'4.70";;"2025-09-08 16:06:31";"Парафармацевтика";"Пищевая добавка";"'0.50";"'0.1";"222";"0";"0";"0";"0";"1585.00";"2500.00";;"22%";;
"'arterol_1_1_1";"2673955119";"2825078710";;"4627649874784";"Средство от давления, витамины для сердца, чистка сосудов, Алтея, Артерол, 10мл х 3";"'100";"Алтея";"Продается";;"1668";"'4.70";;"2025-09-08 16:17:02";"Парафармацевтика";"Пищевая добавка";"'0.47";"'0.1";"1558";"1";"0";"0";"0";"1910.00";"2500.00";;"22%";;
"'insulight_1_1";"2673991979";"2825101652";;"4683765887831";"Диабет витамины при сахарном диабете, Алтея, Инсулайт, 49г х 2";"'100";"Алтея";"Продается";;"347";"'4.70";;"2025-09-08 16:35:14";"Парафармацевтика";"Пищевая добавка";"'1.30";"'0.3";"401";"2";"0";"0";"0";"1740.00";"2500.00";;"22%";;
"'mycoplax_1_1";"2674014454";"2825114763";;"4687489995674";"Мазь от грибка ногтей на ногах, крем гель Алтея, Микоплакс Mycoplax, 15 мл х 2";"'100";"Алтея";"Продается";;"89";"'4.70";;"2025-09-08 16:44:57";"Парафармацевтика";"Лечебное средство";"'0.50";"'0.1";"323";"0";"0";"0";"0";"1456.00";"3500.00";;"22%";;
